	random	noun/verb	location	#1 String	#2 String	label
45	beam	V	1-2	To beam forth light	The fire beamed on their faces	T
46	be	V	2-3	I shall be writing to you soon .	The postman has been today , but my tickets have still not yet come .	T
47	place	N	5-5	If you were in my place what would you do ?	a political system with no place for the less prominent groups	F
48	paste	V	0-2	paste the sign on the wall	cut and paste the sentence in the text	T
49	earth	V	0-9	earth the circuit	That noise is because the amplifier is not properly earthed .	T
50	turn	V	18-5	The hillside behind our house is n't generally much to look at , but once all the trees turn it 's gorgeous .	In Vermont , the leaves turn early	T
51	trial	N	1-5	a trial of progesterone failed to relieve the pain	candidates must compete in a trial of skill	F
52	text	N	5-8	they handed out the printed text of the mayor 's speech	there were more than a thousand words of text	T
53	system	N	1-3	a system generating hydrogen peroxide	in a static system oil can not be replaced by water on a surface	T
54	change	N	5-5	The product is undergoing a change in order to improve it .	this storm is certainly a change for the worse	T
55	be	V	2-1	I shall be writing to you soon .	Why is it so dark in here ?	T
56	beat	V	1-1	Thugs beat him up when he walked down the street late at night	Agassi beat Becker in the tennis championship	F
57	cut	V	1-0	She cut the deck for a long time	cut a disk	F
58	work	V	0-4	work one 's way through the crowd	She never did any work because she inherited a lot of money	F
59	go	V	4-2	This sofa wo n't go with the chairs	We should go farther in this matter	F
60	voice	N	3-3	the wee small voice of conscience	he said his voices told him to do it	T
61	know	V	1-1	I know that the President lied to the people	I know it 's time	T
62	answer	V	0-0	answer the telephone	answer the door	T
63	come	V	1-3	Melons come from a vine	your wish will come true	F
66	drink	V	3-1	The patient must drink several liters each day	He drank out of the goblet .	T
67	quality	N	14-3	While being impulsive can be great for artists , it is not a desirable quality for engineers .	One of the qualities of pure iron is that it does not rust easily .	T
68	land	N	7-6	he made it the law of the land	there 's no work on the land any more	F
70	voice	N	2-2	the noisy voice of the waterfall	the incessant voices of the artillery	T
71	make	N	1-1	what make of car is that ?	He made a real mess of the last shuffle .	F
72	mount	V	0-0	mount a theater production	mount a play	T
73	level	N	4-6	the water reached ankle level	the pictures were at the same level	T
74	mean	V	1-2	I mean no harm	I only meant to help you	T
75	system	N	9-4	we ca n't do it unless we establish some system around here	the body has a system of organs for digestion	F
77	cut	V	1-2	She cut all of her major titles again	The coach cut two players from the team	F
78	furniture	N	9-4	The woman does not even have one stick of furniture moved in yet .	they had too much furniture for the small apartment	T
80	fall	V	0-1	fall into a strange way of thinking	She fell ill	T
81	field	N	8-6	anthropologists do much of their work in the field	He needs some time in the field before his judgment can be trusted .	T
82	carry	V	2-1	These bonds carry warrants	We carry a very large mortgage	F
83	make	V	0-0	make friends	make lead into gold	F
84	lift	V	0-0	lift my spirits	lift his ego	T
85	extension	N	1-7	the extension of ` satellite of Mars ' is the set containing only Demos and Phobos	A text file will have a file extension of .txt .	F
87	streak	N	2-7	had a streak of bad luck	I hope I can keep up this streak of accomplishments .	T
88	immolate	V	0-2	immolate the valuables at the temple	The Aztecs immolated human victims	T
89	gather	V	6-12	Be careful not to stretch or gather your knitting .	If you want to emphasise the shape , it is possible to gather the waistline .	T
90	shuffle	V	1-1	You shuffle , I 'll deal .	He shuffled his funds among different accounts in various countries so as to avoid the IRS	F
91	break	V	1-4	Twigs break off of those branches easily .	The newsman wanted to break a big story , something that would make him famous .	F
92	mercy	N	3-5	It was a mercy that we were not inside when the roof collapsed	he threw himself on the mercy of the court	F
94	masquerade	N	1-3	That masquerade of misrepresentation which invariably accompanied the political eloquence of Rome - Thomas de Quincey	a beggar 's masquerade of wealth	T
96	prescription	N	5-10	I tried to follow her prescription for success	he told the doctor that he had been taking his prescription regularly	F
97	way	N	4-3	I felt the same way	that 's the way it is	T
98	run	V	2-0	Do n't run that software unless you have permission . '	Run the dishwasher	T
99	letter	N	3-3	mailed an indignant letter to the editor	A blood - letter	F
100	make	V	3-0	He did n't make the choir after his voice changed .	make a dress	F
102	touch	V	3-2	I would n't touch her with a ten - foot pole	She never touched her husband	F
103	go	V	2-6	Let 's go this way for a while .	Do you think the sofa will go through the door ?     The belt just barely went around his waist .	F
104	performance	N	5-5	we congratulated him on his performance at the rehearsal	the play ran for 100 performances	F
105	evil	N	6-5	attempts to explain the origin of evil in the world	Do n't go giving me evils !	T
106	blow	V	1-2	To blow a horse	The whales blew	F
109	head	N	1-6	a head of steam	the office was full of secret heads	F
110	develop	V	0-2	develop land	The country developed its natural resources	T
112	area	N	8-1	The photo is a little dark in that area .	the area of a rectangle	T
113	work	V	0-3	work one 's muscles	My personal trainer works me hard	T
114	cut	V	3-0	she could not cut the long days in the office	cut grain	F
115	work	V	7-2	this unpleasant situation is n't going to work itself out	The wine worked	F
117	nick	N	7-9	He 's just been released from Shadwell nick prison after doing ten years for attempted murder .	He was arrested and taken down to Sun Hill nick police station to be charged .	T
120	come	V	0-2	come into contact with a terrorist group	Their anger came to a boil	T
122	make	V	0-0	make a decision	make advances	T
123	matter	N	1-7	Printed matter ;    He always took some reading matter with him on the plane .	they were friends and it was no matter who won the games	F
124	cut	V	3-0	We had to cut short the conversation	cut the noise	T
125	follow	V	1-1	Please follow the guide through the museum	She followed a guru for years	F
127	space	N	3-5	the architect left space in front of the building	they stopped at an open space in the jungle	T
128	wall	N	4-1	We 're adding another wall in this room during the remodeling .	the walls were covered with pictures	T
130	head	N	2-6	under the head of minor Roman poets	they tracked him back toward the head of the stream	F
132	book	N	5-1	Many readers find the first book of A Tale of Two Cities to be confusing .	the book of Isaiah	T
133	join	V	3-3	Parallel lines never join .     These two rivers join in about 80 miles .	The two roads join here	T
134	pull	V	0-0	pull the trigger of the gun	Pull the handle towards you	T
135	wash	V	2-1	Can you wash away the spots on the windows ?	he washed the dirt from his coat	T
136	fatigue	N	1-6	political fatigue	the American public is experiencing scandal fatigue	T
137	drive	V	0-2	drive the forest	She is driving away at her doctoral thesis	F
138	extension	N	6-7	most BASIC files use the filename extension .BAS	A text file will have a file extension of .txt .	T
139	wave	N	1-4	a wave of conservatism in the country led by the hard right	there was a sudden wave of buying before the market closed	T
140	send	V	1-1	To send a message , or a letter	Nora sent me the book .	T
141	dwelling	N	6-4	The old house served as a dwelling for Albert .	he built a modest dwelling near the pond	T
142	fire	V	5-1	In warfare , whoever opens fire first has a greater chance of victory .	Surrender fires the cold skepticism	F
143	position	N	8-6	Chief of Staff is the second - highest position in the army .	atheists do not enjoy a favorable position in American life	T
144	reaction	N	7-5	he was pleased by the audience 's reaction to his performance	John feared his mother 's reaction when she saw the broken lamp	T
145	make	V	4-1	How much do you make a month in your new job ?	This makes a fine introduction	F
146	weakness	N	1-8	the weakness of the dollar against the yen	In a small number of horses , muscle weakness may progress to paralysis .	T
148	hold	V	2-0	I 'll hold you by your promise	hold one 's nose	F
149	stuff	V	0-4	stuff a pillow with feathers	My nose is all stuffed	F
151	hold	V	0-2	hold your breath	What 's holding that mirror ?	F
152	lumberyard	N	6-6	I 'll just go to the lumberyard and buy some more two by fours so we can finish building this .	He got a job at the lumberyard , working the big saw for planks .	T
153	chain	N	1-1	A chain of mountains	the chain of command	T
154	break	V	0-4	break the cycle of poverty	The newsman wanted to break a big story , something that would make him famous .	F
155	run	V	0-1	run a temperature	We ran the ad three times	F
158	keep	V	0-0	keep notes	keep open the possibility of a merger	F
159	get	V	3-0	I ca n't get these boots off ( or on ) .	Get me those books over there , please	T
160	work	V	4-2	This dough does not work easily ;    the soft metal works well	Can you work an electric drill ?	F
161	line	N	4-3	they were arrayed in line of battle	He drew a line on the chart	F
162	tell	V	2-2	He could tell that she was unhappy	Can you tell whether those flowers are real or silk , from this distance ?     No , there 's no way to tell .	T
164	pull	N	6-5	he was sidelined with a hamstring pull	Iron fillings drawn by the pull of a magnet	F
165	foot	N	4-1	We went there by foot because we could not afford a taxi .	the foot of the list	F
166	break	V	0-4	break a promise	The flat plain was broken by tall mesas	F
167	dwelling	N	6-2	The old house served as a dwelling for Albert .	I was dwelling in the cave .	T
168	get	V	3-3	What did you get at the toy store ?	She did n't get his name when they met the first time	F
169	pull	V	0-0	pull one 's horse to a stand	pull the ball	F
170	start	V	0-1	start a new job	I start my day with a good breakfast	F
171	glimpse	N	7-4	from the window he could catch a glimpse of the lake	I only got a glimpse of the car , so I can tell you the colour but not the registration number .	F
172	bear	V	3-1	I can not bear his constant criticism	he bore himself with dignity	F
173	shortness	N	2-3	can cause shortness of breath	there was no shortness of money	T
174	turn	V	4-0	The alchemists tried to turn lead into gold	turn the corner	F
175	point	N	4-3	To fall off a point	he checked the point on his compass	T
176	talk	V	9-2	Although I do n't speak Chinese I managed to talk with the villagers using signs and gestures .	the baby talks already	T
177	order	N	5-4	an explosion of a low order of magnitude	it was on the order of a mile	T
180	crack	N	5-6	he opened the window a crack	I 'd like to take a crack at that game .	F
182	get	V	3-3	I ca n't get these boots off ( or on ) .	She did n't get the joke	F
183	admit	V	1-2	To admit a serious thought into the mind	A ticket admits one into a playhouse .	T
184	life	N	5-13	the oceans are teeming with life	Having experienced both , the vampire decided that he preferred ( un)death to life .	F
185	begin	V	0-0	begin a new chapter in your life	begin a cigar	F
186	shift	V	0-0	shift the emphasis	shift one 's attention	T
187	head	N	6-6	A reduction in the assessment per head of sheep	At five years of age this head of cattle is worth perhaps $ 40	T
188	carry	V	7-0	the dog was taught to fetch and carry	carry a cause	F
189	satellite	N	5-2	The Moon is a natural satellite of the Earth .	Many telecommunication satellites orbit at 36000 km above the equator .	F
190	grace	N	8-2	I 'm so grateful to God for the grace that He has given me .	God 's grace is manifested in the salvation of sinners	T
191	work	V	5-3	Start from the bottom and work towards the top	I can not work a miracle	F
192	antagonist	N	10-8	A flexor , which bends a part , is the antagonist of an extensor , which extends it .	when bending the elbow the triceps are the antagonist	T
195	sex	N	10-6	( The believers ... those ... ) who abstain from sex	All you ever think about is sex .	T
196	head	N	4-6	matters came to a head yesterday	they tracked him back toward the head of the stream	F
198	attack	N	2-5	open to attack by the elements	the film was sensitive to attack by acids	T
199	make	V	2-1	can you make me an omelette ?	I make the height about 100 feet	F
201	add	V	1-3	To add numbers	This paper will add to her reputation	F
202	carry	V	2-1	These bonds carry warrants	To carry an account to the ledger	F
203	anchorage	N	5-4	the plant needs a firm anchorage	the mother provides emotional anchorage for the entire family	T
204	deficit	N	5-4	the people concerned have a deficit in verbal memory	they have serious linguistic deficits	T
205	confluence	N	7-5	We encountered an abandoned boat at the confluence of the Mississippi and Ohio Rivers .	Pittsburgh is located at the confluence of the Allegheny and Monongahela rivers	T
206	make	V	3-0	What do you make of his remarks ?	make a dress	F
207	strength	N	1-5	the strength of the company 's stock in recent weeks	it was destroyed by the strength of the gale	F
208	normalize	V	0-0	normalize relations with China	normalize the spelling	T
210	undergo	V	0-2	undergo a strange sensation	The chemical undergoes a sudden change	T
212	wash	V	3-9	he managed to wash out the stains	The car is so dirty , we need to wash it .	T
213	surprise	N	1-2	The surprise attack was devastating .	Imagine my surprise on learning I owed twice as much as I thought I did .	F
214	make	V	0-0	make clay into bricks	make an estimate	F
215	make	V	0-1	make merry	I make the height about 100 feet	F
216	raise	V	0-0	raise the roof	raise a shout	F
218	say	V	4-2	What does the law say ?	The registrar says that I owe the school money	F
219	course	N	6-3	We offer seafood as the first course .	he took a course in basket weaving	F
220	war	N	1-1	the war against crime	the war on poverty	T
221	construction	N	4-5	He had worked in construction all his life .	their main business is home construction	T
223	fail	V	1-4	I fail to understand your motives	A number of banks failed that year	F
224	spring	N	6-8	he will hold office until the spring of next year	the emerging buds were a sure sign of spring	T
225	end	N	1-6	one end of the box was marked ` This side up '	we have given it at the end of the section since it involves the calculus	F
227	fire	N	4-0	We sat around the fire singing songs and telling stories .	fire was one of our ancestors ' first discoveries	T
229	inventory	N	10-4	they stopped selling in exact sizes in order to reduce inventory	they carried a vast inventory of hardware	T
230	sing	V	5-2	 I really want to sing in the school choir .  said Vera .	My brother sings very well	T
233	face	N	4-7	dew dripped from the face of the leaf	She wanted to wipe him off the face of the earth .	T
234	surgery	N	8-5	he read the warning in the doctor 's surgery	I dropped in on the surgery as I was passing to show the doctor my hemorrhoids .	T
235	reaction	N	12-2	When I last tried to eat strawberries I had a terrible allergic reaction .	a bad reaction to the medicine	T
236	point	V	4-3	It 's rude to point at other people .	the dancers toes pointed outward	F
238	mean	V	1-1	I mean to go to Baddeck this summer .	I mean no harm	T
240	date	N	4-7	they are up to date	we have n't heard from them to date	T
241	take	V	0-4	take vengeance	This surface will not take the dye	F
242	believe	V	2-3	Should we believe a publication like the National Enquirer ?	You can not believe this man	T
243	call	V	4-3	The mayor likes to call on some of the prominent citizens	We could always call on a friend .     The engineer called round whilst you were away .	T
244	practice	N	4-5	I took over his practice when he retired	it is not the local practice to wear shorts to dinner	F
245	offer	V	0-4	offer prayers to the gods	The Shakespeare Company is offering ` King Lear ' this month	F
247	see	V	2-3	let 's see -- which movie should we see tonight ?	How nice to see you again !	F
248	work	V	4-2	She never did any work because she inherited a lot of money	the student worked a few jokes into his presentation	F
249	head	N	9-6	I could n't get his words out of my head	This song keeps going through my head .	T
251	make	V	3-3	He did n't make the choir after his voice changed .	They hope to make a bigger profit	T
252	catch	V	0-6	catch one 's breath	We have a big barrel to catch the rainwater	F
253	deliver	V	6-2	Deliver a package ;    deliver the mail	the guard delivered the criminal to the police	F
254	strip	V	0-2	strip a wall of its wallpaper	Norm will strip the old varnish before painting the chair .	T
255	cut	V	3-2	she could not cut the long days in the office	his opponent cut upward toward his chin	F
256	fall	V	1-2	payments fall on the 1st of the month	The onus fell on us	F
257	see	V	4-2	The minister does n't see anybody before noon	Can you see the bird in that tree ?	F
259	splash	N	7-4	her red hat gave her outfit a splash of color	he made a great splash and then disappeared	F
260	book	N	5-3	they run things by the book around here	She opened the book to page 37 and began to read aloud .	F
261	start	V	1-3	I start my day with a good breakfast	The blood shed started when the partisans launched a surprise attack	T
263	foulness	N	4-3	mouths which speak such foulness must be cleansed	he understood the foulness of sin	T
264	answer	V	0-1	answer the door	She answered the door .	T
265	furniture	N	3-9	A chair is furniture . Sofas are also furniture .	The woman does not even have one stick of furniture moved in yet .	T
267	go	V	2-1	Messages must go through diplomatic channels	Get going !	F
268	death	N	1-1	The death of my grandmother saddened the whole family .	her death came as a terrible shock	T
269	application	N	1-2	the application of indexes to tables of data	The iPhone application VR+ connects to major social networks .	F
270	back	N	1-10	his back was nicely tanned	they pinned a ` kick me ' sign on his back	F
271	rest	N	14-4	Now that we 're all in agreement , we can put that issue to rest .	The boulder came to rest just behind the house after rolling down the mountain .	T
272	bake	V	1-1	Potatoes bake to a crisp .	I baked a delicious cherry pie .	T
273	shoot	V	0-0	shoot a basket	shoot a goal	T
274	tail	N	25-4	After the burly macho nudists ' polar bear dip , their tails were spectacularly shrunk , so they looked like an immature kid 's innocent tail .	Most primates have a tail and fangs .	F
275	light	N	4-1	do you have a light ?	the light of my life	F
276	consummate	V	0-12	consummate a marriage	After the reception , he escorted her to the honeymoon suite to consummate their marriage .	T
278	stop	V	4-2	Soon the rain will stop .	the car stopped	F
280	syrup	N	1-1	Maple syrup	Pancake syrup	T
281	space	N	5-8	they stopped at an open space in the jungle	they tested his ability to locate objects in space	F
282	head	N	1-1	12 head of big cattle and 14 head of branded calves	200 head of cattle and 50 head of horses	T
283	pull	N	1-5	the pull of the current	Iron fillings drawn by the pull of a magnet	T
284	masticate	V	0-5	masticate rubber	The cow stood , quietly masticating its cud .	F
285	pick	V	0-0	pick meat from a bone	pick up the tab	F
286	station	N	5-6	the train pulled into the station	he started looking for a gas station	T
291	rap	N	12-4	You ca n't act irresponsibly and then expect me to take the rap .	it was a bum rap	T
292	record	N	12-6	Al Smith used to say , ` Let 's look at the record '	his name is in all the record books	T
293	masquerade	N	3-1	a beggar 's masquerade of wealth	That masquerade of misrepresentation which invariably accompanied the political eloquence of Rome - Thomas de Quincey	T
294	use	N	1-4	The use of torture has been condemned by the United Nations ;    there is no use for your invention	he warned against the use of narcotic drugs	T
295	lead	N	2-5	a good lead for a job	they did n't follow our lead	F
296	life	N	5-3	he hoped for a new life in Australia	pottery was his life	F
297	wall	N	1-2	a wall of water	the south wall had a small window	F
298	stretch	N	3-2	he did a stretch in the federal penitentiary	there were stretches of boredom	T
299	break	V	3-1	I had to break a $ 100 bill just to buy the candy	Someone broke in while I was on vacation	F
300	admit	V	3-2	We can not admit non - members into our club building	A ticket admits one into a playhouse .	T
303	copy	N	3-3	catastrophes make good copy	she made a copy of the designer dress	F
304	cut	V	2-2	The sweat cut little rivulets into her face	This bread cuts easily	F
305	turn	V	4-2	the strong man could turn an iron bar	the company turned a good profit after a year	F
307	difference	N	6-1	It just wo n't make much difference to me .	the difference in her is amazing	T
308	end	N	1-1	one end of the box was marked ` This side up '	the ends justify the means	F
311	keep	V	2-8	The students keep me on my toes	There 's little to earn and many to keep	F
312	lob	V	0-3	lob the tennis ball	The tennis player lobbed the ball , which was a costly mistake .	T
313	hum	N	4-1	They could hear a hum coming from the kitchen , and found the dishwasher on .	the hum of distant traffic	T
316	break	V	3-3	I had to break a $ 100 bill just to buy the candy	his voice is breaking -- he should no longer sing in the choir	F
317	cut	V	0-0	cut grain	cut a disk	F
318	implication	N	4-9	he was suspected of implication in several robberies	the expectation was spread both by word and by implication	F
319	bum	N	2-9	a lazy bum	That guy keeps interrupting the concert . Throw the bum out !	T
320	turn	V	0-0	turn the earth in the Spring	turn a somersault	F
321	see	V	13-3	They 're blind to the damage they do , but someday they 'll see .	The 1960 's saw the rebellion of the younger generation against established traditions	F
322	wall	N	2-4	the south wall had a small window	We 're adding another wall in this room during the remodeling .	T
323	run	V	3-5	The horse will run the Preakness next year .	I 'm not ready to run a marathon .	T
324	head	N	1-1	"the head of the nail "" , "" a pinhead is the head of a pin"	200 head of cattle and 50 head of horses	F
325	make	V	3-1	She may not make the grade	He makes a great host	F
326	tact	N	2-4	I used tact when I told my fat uncle that his extra weight made him look better .	By the use of tact , she was able to calm her jealous husband .	T
327	work	V	0-1	work the clay until it is soft	They worked on her to join the group .	F
328	leave	V	3-0	She did n't leave until midnight	leave the flowers that you see in the park behind	F
329	development	N	2-1	the slow development of her skill as a writer	the development of his ideas took many years	T
330	scene	N	5-4	The crazy lady made a scene in the grocery store .	They saw an angry scene outside the pub .	T
331	patch	N	2-3	a cabbage patch	Does n't that patch of clouds looks like a bunny ?	F
332	sale	N	6-9	you 'll find vitamin C for sale at most pharmacies	the new line of cars will soon be on sale	T
335	machinery	N	2-1	the complex machinery of negotiation	the machinery of command labored and brought forth an order	T
336	body	N	8-1	Penny was in the scullery , pressing the body of her new dress .	heavenly body	F
337	find	V	6-1	These aspects of civilization do not find expression or receive an interpretation	She found that he had lied to her	F
338	third	N	9-6	he was cut down on a close play at third	a simple harmony written in major thirds	F
339	carry	V	2-3	You must carry your camping gear	This land will carry ten cows to the acre	F
340	run	V	0-0	run a risk	run a temperature	T
341	develop	V	2-2	Could you develop the ideas in your thesis	The patient developed abdominal pains	F
343	rub	V	0-2	rub oil into her skin	The cat rubbed itself against my leg .	T
345	make	V	0-1	make my day	This makes the third infraction	F
347	feeder	N	2-2	a bark feeder	a mud feeder	T
348	place	N	5-4	If you were in my place what would you do ?	he has a special place in my thoughts	F
349	pull	V	0-3	pull the cooked chicken into strips	A declining dollar pulled down the export figures for the last quarter	F
350	order	N	1-5	the order of Saint Benedict	an explosion of a low order of magnitude	F
352	save	V	2-2	This will save money	I 'll save you the trouble	T
353	shower	N	7-3	Her church group has planned an adoption shower .	he took a shower after the game	F
355	dress	V	0-0	dress a turkey	dress the patient	F
356	block	V	0-5	block an attack	The offensive linemen tried to block the blitz .	T
357	forefront	N	8-6	the idea of motion was always to the forefront of his mind and central to his philosophy	That laboratory researches topics at the forefront of technology .	T
358	now	N	5-6	it worked up to right now	There is no better time than now .	T
359	follow	V	1-0	Teenagers follow their friends in everything	Follow these simple rules	F
360	cover	V	3-4	Does my policy cover accidental loss ?	The insurance wo n't cover this	T
361	coordinate	V	0-0	coordinate his actions with that of his colleagues	coordinate the painters , masons , and plumbers	T
362	touch	V	5-8	The local Mafia wo n't touch gambling	Are you all right ? You 've hardly touched your lunch .	F
363	practice	N	0-5	practice makes perfect	He will need lots of practice with the lines before he performs them .	T
365	carry	V	1-2	I carry her image in my mind 's eye	The senator carried his home state	F
366	hit	V	0-1	hit the bottle	He hit a home run	F
367	point	V	0-0	point a gun	point the letter	F
368	waste	V	0-1	waste heat	We waste the dirty water by channeling it into the sewer	F
369	development	N	8-1	in chess your should take care of your development before moving your queen	recent developments in Iraq	F
371	pay	V	0-9	pay a debt	He was allowed to go as soon as he paid .	T
372	plot	N	7-3	the characters were well drawn but the plot was banal	they concocted a plot to discredit the governor	F
373	integrity	N	5-10	they admired his scrupulous professional integrity	he expects to find in us the common honesty and integrity of men of business	T
374	cut	V	0-1	cut the engine	She cut all of her major titles again	F
375	turn	V	18-0	The hillside behind our house is n't generally much to look at , but once all the trees turn it 's gorgeous .	turn the earth in the Spring	F
376	toy	V	1-0	To toy with a piece of food on one 's plate	toy with an idea	T
377	pump	V	0-2	pump bullets into the dummy	The athlete pumps weights in the gym	F
378	mean	V	5-1	You never understand what I mean !	Happiness means everything	F
379	take	V	3-11	How should I take this message ?	Looking at him as he came into the room , I took him for his father .	T
380	truck	V	0-1	truck fresh vegetables across the mountains	Amanda trucked the package from Philadelphia to her mother 's house .	T
381	wildness	N	7-3	Liza had always had a tendency to wildness	the element of wildness in his behavior was a protest against repressive convention	T
382	case	N	14-4	for English , a compositor will ordinarily have two such cases , the upper case containing the capitals and the lower case containing the small letters	that was not the case	F
384	buy	V	5-3	I 'm not going to buy your stupid excuses anymore !	I ca n't buy this story	T
388	foot	N	4-1	curled up on the foot of the bed	the foot of the page	T
389	exercise	V	2-3	Some parents exercise their infants	this puzzle will exercise your mind	T
390	make	V	0-3	make love , not war	This salary increase makes no difference to my standard of living	F
391	misery	N	1-5	the misery and wretchedness of those slums is intolerable	she was exhausted by her misery and grief	F
392	cut	V	3-2	Would you please cut the cake ?	This knife cuts well	T
393	connect	V	3-2	The two streets connect to become a highway	Our computers connected together .	F
396	cut	V	3-0	We had to cut short the conversation	cut class	F
397	part	N	5-2	he wanted to feel a part of something bigger than himself	the rear part of the house	F
398	line	N	2-4	a washing line	he has a smooth line but I did n't fall for it	F
399	shock	N	2-8	the first shock of the earthquake came shortly after noon while workers were at lunch	The train hit the buffers with a great shock .	T
400	make	V	2-1	She 'll make a fine president .	We made for the mountains	F
401	break	V	0-0	break cigarette smoking	break a fall	F
402	end	N	1-1	the end of the year	one end of the box was marked ` This side up '	F
403	describe	V	5-1	The feeling is difficult to describe , but not unpleasant .	He described going to work .	T
406	hit	V	2-2	The car hit a tree	The ball hit the fence .	T
407	class	N	3-6	an emerging professional class	flirting is not unknown in college classes	F
408	tea	N	8-11	the store shelves held many different kinds of tea	Would you be a dear and get me a cup of tea , please ?	T
409	wash	V	9-1	The car is so dirty , we need to wash it .	he washed the dirt from his coat	T
412	check	V	0-0	check the brakes	Check the growth of communism in South East Asia	F
413	be	V	2-4	I may be an hour	When will the meeting be ?	F
415	post	V	2-0	I 'll post the news on the bulletin board	Post a sentinel in front of the door .	F
416	catch	V	3-2	ears open to catch every sound	If he catches you on the chin , you 'll be on the mat .	F
417	blip	N	7-5	renewed jitters in the wake of a blip in retail sales	the market had one bad blip today	T
418	work	V	3-4	The artist 's work influenced the young painter	This dough does not work easily ;    the soft metal works well	F
419	use	V	2-6	we only use Spanish at home	He does n't know how to use a computer	T
420	date	N	3-11	I arranged a date with my Australian business partners .	she asked how to avoid kissing at the end of a date	T
421	come	V	3-2	your wish will come true	The bill came to $ 2,000	F
422	keep	V	3-3	I can not keep track of all my employees	He has been keeping orchids since retiring .	F
423	trust	V	2-3	We can trust in God	In God We Trust - written on denominations of US currency	T
426	draw	V	7-2	A ship 's sail is said to draw when it is filled with wind .	This horse draws well .	T
428	pick	V	1-2	To pick rags	She finally picked her successor	F
429	eye	N	4-5	That dress caught her eye .	he tried to catch her eye	T
430	chain	N	1-6	A chain of ideas , one leading to the next	The third link of the silver chain needs to be resoldered .	T
431	draw	V	0-0	draw a weapon	draw a wagon	F
432	work	V	5-4	Start from the bottom and work towards the top	This dough does not work easily	F
433	mount	V	0-0	mount an attack	mount a theater production	T
435	lift	N	4-4	He gave me a lift to the bus station .	he gave me a lift home	T
436	run	V	0-5	run a subject	I 'm not ready to run a marathon .	F
437	burn	V	1-2	To burn the mouth with pepper	She was burning with anger	F
438	motion	N	5-3	the cinema relies on apparent motion	he made a motion to adjourn	F
439	throw	N	8-7	Football tickets are expensive at fifty bucks a throw .	he could n't afford $ 50 a throw	T
440	call	V	3-0	We could always call on a friend .     The engineer called round whilst you were away .	Call the outcome of an election	F
